Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Churn
No,No,4,Yes,No,No,No,Yes,Yes,Yes
No,No,30,Yes,Yes,No,No,Yes,Yes,No
No,No,5,Yes,Yes,No,No,Yes,Yes,No
Yes,No,71,Yes,Yes,No,No,No,No,No
No,No,29,Yes,Yes,No,Yes,No,No,No
Yes,No,52,Yes,Yes,No,Yes,No,Yes,No
No,No,68,Yes,Yes,Yes,Yes,Yes,No,No
Yes,Yes,46,Yes,No,No,No,No,No,No
No,No,8,Yes,No,No,No,No,No,No
Yes,No,72,Yes,No,No,No,No,No,No
No,No,17,Yes,No,No,No,No,No,No
No,No,3,Yes,No,No,Yes,Yes,Yes,No
No,No,2,Yes,No,No,Yes,No,No,No
No,No,9,Yes,No,Yes,No,No,No,Yes
No,No,51,No,No,No,Yes,Yes,No,No
Yes,Yes,6,Yes,No,No,No,No,No,No
Yes,No,3,Yes,Yes,No,No,No,No,No
No,No,17,Yes,Yes,No,No,No,No,No
Yes,No,30,Yes,Yes,No,No,No,No,No
No,No,31,Yes,Yes,No,Yes,No,Yes,No
No,No,45,Yes,No,Yes,No,Yes,Yes,No
Yes,No,64,Yes,Yes,Yes,Yes,Yes,No,No
No,No,1,Yes,Yes,No,No,No,No,Yes
No,No,1,Yes,No,No,No,No,No,Yes
Yes,Yes,61,Yes,Yes,No,Yes,No,No,No
No,No,1,Yes,No,No,No,No,No,No
No,No,9,No,No,No,No,No,No,Yes
Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,1,Yes,No,No,No,No,No,Yes
Yes,No,7,Yes,No,No,No,No,No,No
Yes,No,66,Yes,Yes,No,Yes,Yes,Yes,No
No,No,1,Yes,No,No,No,No,No,Yes
Yes,Yes,40,Yes,No,No,No,No,No,No
No,No,16,Yes,Yes,No,Yes,Yes,No,No
No,No,2,Yes,No,No,Yes,No,No,Yes
Yes,No,67,Yes,Yes,No,No,No,No,No
Yes,No,41,Yes,No,Yes,Yes,Yes,No,No
Yes,Yes,56,Yes,No,No,No,No,No,No
No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,Yes,3,Yes,Yes,No,No,No,No,Yes
Yes,No,54,Yes,No,No,No,No,No,No
No,No,52,Yes,Yes,No,Yes,Yes,Yes,No
No,No,50,Yes,No,No,No,Yes,Yes,No
No,No,14,Yes,Yes,No,No,No,Yes,Yes
Yes,No,27,Yes,No,Yes,No,No,No,No
Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,62,Yes,No,Yes,Yes,No,No,No
No,No,12,Yes,No,No,Yes,No,Yes,No
No,No,44,Yes,No,No,No,Yes,Yes,No
Yes,Yes,54,Yes,No,No,Yes,No,Yes,No
No,No,68,Yes,No,No,No,No,No,No
No,No,20,Yes,No,No,No,No,No,No
Yes,Yes,50,Yes,Yes,No,No,Yes,No,No
No,No,58,Yes,Yes,No,No,No,No,No
Yes,Yes,35,Yes,Yes,No,Yes,No,No,No
No,No,2,Yes,No,No,No,No,No,No
Yes,Yes,63,Yes,Yes,Yes,No,Yes,Yes,No
Yes,No,58,Yes,Yes,Yes,Yes,Yes,No,No
Yes,Yes,27,Yes,No,No,No,No,No,No
Yes,No,71,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,63,Yes,No,No,No,Yes,No,No
Yes,No,71,Yes,Yes,No,Yes,Yes,No,No
No,No,41,Yes,Yes,Yes,Yes,Yes,No,Yes
No,No,13,Yes,No,No,No,No,No,Yes
No,No,2,Yes,No,No,No,No,No,Yes
Yes,Yes,68,Yes,No,No,No,No,No,No
Yes,Yes,1,Yes,No,Yes,No,No,No,No
No,No,65,Yes,Yes,Yes,No,Yes,Yes,No
Yes,No,72,Yes,Yes,No,No,No,No,No
No,No,28,Yes,Yes,No,No,No,Yes,No
Yes,Yes,72,Yes,Yes,No,No,No,No,No
No,No,2,Yes,No,Yes,Yes,No,No,No
No,Yes,18,Yes,No,No,No,No,No,Yes
Yes,No,60,Yes,Yes,No,Yes,Yes,No,No
No,No,26,Yes,Yes,No,No,No,Yes,No
No,Yes,1,Yes,No,No,No,No,No,Yes
No,No,4,Yes,No,No,No,No,No,Yes
Yes,Yes,68,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,38,Yes,No,No,Yes,Yes,Yes,Yes
Yes,No,42,Yes,Yes,Yes,No,Yes,No,No
Yes,No,57,Yes,No,No,No,No,No,No
Yes,No,54,No,No,No,Yes,No,No,No
No,No,12,Yes,No,No,No,No,No,Yes
Yes,No,44,Yes,No,Yes,Yes,Yes,No,No
Yes,Yes,42,Yes,Yes,Yes,Yes,No,No,No
Yes,Yes,72,Yes,Yes,No,No,No,No,No
Yes,Yes,71,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,No,19,Yes,Yes,No,No,Yes,No,Yes
Yes,No,23,Yes,Yes,No,No,No,Yes,No
No,No,30,Yes,No,No,No,No,No,No
No,No,35,Yes,Yes,No,No,No,No,No
No,No,10,Yes,Yes,Yes,No,No,No,Yes
No,No,1,Yes,No,No,No,No,No,No
No,No,22,Yes,No,No,No,No,No,No
Yes,Yes,7,No,No,Yes,Yes,Yes,No,No
No,No,36,No,No,Yes,Yes,Yes,Yes,No
Yes,Yes,34,Yes,No,No,No,No,No,No
Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,No,No
Yes,Yes,36,Yes,Yes,No,No,No,No,No
No,No,1,Yes,No,No,No,Yes,No,Yes
No,No,23,Yes,Yes,No,Yes,No,No,Yes
Yes,No,32,Yes,Yes,No,No,No,No,Yes
Yes,Yes,71,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,23,Yes,Yes,No,No,Yes,No,No
Yes,No,17,Yes,No,No,No,Yes,No,No
No,No,1,Yes,No,No,No,Yes,Yes,No
Yes,Yes,12,Yes,No,No,No,No,No,No
Yes,No,72,Yes,No,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,No
Yes,No,72,Yes,Yes,No,Yes,No,No,No
Yes,Yes,60,Yes,Yes,No,No,No,No,No
Yes,Yes,61,No,No,No,Yes,Yes,Yes,No
Yes,No,6,Yes,No,No,No,No,No,No
Yes,No,32,Yes,Yes,No,No,No,No,Yes
No,Yes,31,Yes,Yes,No,No,No,No,Yes
No,No,19,Yes,No,No,Yes,No,No,Yes
Yes,Yes,72,Yes,No,No,No,No,No,No
No,No,32,Yes,Yes,No,Yes,No,No,No
Yes,No,65,Yes,Yes,No,Yes,No,No,No
Yes,Yes,45,No,No,Yes,No,No,No,No
No,No,42,Yes,Yes,No,No,No,No,No
No,No,8,Yes,Yes,No,No,No,No,No
No,Yes,32,Yes,No,No,No,No,No,No
Yes,No,22,Yes,Yes,Yes,Yes,No,Yes,No
Yes,No,57,No,No,No,No,No,No,Yes
No,No,1,Yes,No,Yes,No,No,No,No
No,No,1,Yes,No,No,No,No,No,Yes
Yes,No,1,Yes,No,No,No,No,No,No
No,No,24,Yes,No,No,No,No,Yes,Yes
No,No,1,Yes,No,No,No,No,No,Yes
No,No,54,Yes,Yes,No,Yes,No,No,No
No,No,4,Yes,Yes,No,No,No,No,No
Yes,Yes,65,Yes,Yes,Yes,No,Yes,Yes,Yes
Yes,No,56,Yes,Yes,No,No,No,No,No
No,No,45,Yes,No,Yes,No,Yes,No,No
Yes,Yes,71,Yes,No,No,No,No,No,No
Yes,No,59,Yes,No,Yes,Yes,Yes,No,No
No,No,69,No,No,No,Yes,Yes,No,No
No,No,19,Yes,No,No,No,No,No,No
Yes,Yes,55,Yes,No,No,No,No,No,No
No,No,38,Yes,No,No,No,No,No,No
No,No,10,Yes,No,No,No,No,No,Yes
Yes,No,47,Yes,Yes,Yes,Yes,Yes,No,No
Yes,No,2,No,No,No,No,No,No,Yes
No,No,1,Yes,No,No,No,No,No,Yes
No,No,1,Yes,No,No,No,No,No,Yes
No,No,1,No,No,No,Yes,Yes,No,Yes
Yes,Yes,46,Yes,No,No,No,No,No,No
No,No,38,Yes,No,Yes,Yes,No,No,Yes
Yes,No,65,Yes,No,Yes,No,Yes,Yes,No
Yes,No,19,Yes,No,Yes,No,No,No,Yes
No,No,52,Yes,No,No,Yes,No,No,Yes
Yes,Yes,71,Yes,No,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,Yes
No,No,52,No,No,No,Yes,Yes,Yes,No
Yes,No,6,Yes,Yes,No,No,No,No,No
Yes,No,26,Yes,No,No,No,Yes,No,No
No,No,48,Yes,Yes,No,Yes,No,No,No
Yes,Yes,64,Yes,Yes,Yes,No,No,Yes,No
No,No,3,Yes,No,No,Yes,No,No,Yes
No,No,1,Yes,No,No,No,No,No,No
Yes,Yes,72,Yes,Yes,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,No
Yes,Yes,51,Yes,Yes,Yes,Yes,No,No,No
Yes,Yes,41,Yes,No,No,No,No,No,No
Yes,Yes,72,Yes,No,Yes,Yes,Yes,No,No
Yes,No,43,Yes,Yes,Yes,Yes,No,Yes,No
Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,No,47,Yes,Yes,No,No,No,No,No
No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,3,Yes,No,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,Yes
No,No,2,Yes,Yes,No,No,No,No,Yes
No,No,26,No,No,Yes,Yes,No,No,No
Yes,Yes,29,Yes,No,Yes,No,No,No,No
Yes,No,35,Yes,Yes,Yes,Yes,No,Yes,Yes
No,No,27,Yes,No,Yes,Yes,No,No,No
Yes,Yes,24,Yes,No,Yes,Yes,No,Yes,No
Yes,Yes,67,Yes,No,Yes,No,Yes,Yes,No
No,No,16,Yes,Yes,No,No,No,No,Yes
No,No,23,Yes,No,No,Yes,Yes,No,No
No,No,14,No,No,No,Yes,No,No,No
Yes,Yes,1,Yes,No,No,No,No,No,Yes
No,No,1,Yes,No,No,No,No,No,Yes
No,No,4,No,No,No,Yes,No,No,No
No,Yes,16,Yes,Yes,Yes,Yes,No,No,No
Yes,No,46,No,No,No,No,No,No,No
No,Yes,68,Yes,Yes,Yes,Yes,No,Yes,No
No,No,38,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,No,30,Yes,No,No,Yes,No,No,Yes
No,No,5,Yes,No,No,No,No,No,Yes
No,No,17,Yes,No,No,Yes,Yes,No,No
Yes,Yes,4,Yes,No,No,No,No,No,No
No,No,12,Yes,No,No,No,No,No,No
Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,3,Yes,No,No,No,No,No,No
No,No,56,Yes,Yes,No,Yes,No,Yes,Yes
No,No,41,Yes,Yes,No,No,No,No,No
No,No,40,No,No,No,Yes,No,Yes,No
No,No,7,Yes,No,Yes,Yes,No,Yes,No
No,No,69,Yes,No,No,No,No,No,No
Yes,Yes,7,Yes,No,No,No,No,No,No
Yes,Yes,5,No,No,No,Yes,No,No,No
Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,Yes,44,Yes,No,No,No,No,No,No
No,No,65,Yes,Yes,No,Yes,Yes,No,No
No,No,3,Yes,Yes,No,No,No,Yes,No
No,No,24,Yes,No,No,No,No,Yes,No
No,No,44,Yes,Yes,No,Yes,Yes,No,Yes
Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,24,Yes,No,Yes,No,No,Yes,No
No,No,1,Yes,No,No,No,Yes,No,Yes
Yes,No,22,Yes,No,No,No,No,No,No
Yes,Yes,70,Yes,Yes,No,Yes,Yes,Yes,No
Yes,Yes,25,Yes,Yes,No,No,No,No,No
Yes,Yes,37,Yes,No,No,No,No,No,No
Yes,Yes,22,Yes,Yes,No,No,No,No,No
Yes,Yes,59,Yes,Yes,No,No,Yes,Yes,No
Yes,Yes,49,Yes,Yes,No,No,Yes,No,Yes
Yes,Yes,47,Yes,Yes,No,No,Yes,Yes,Yes
Yes,Yes,31,Yes,No,No,No,No,No,Yes
Yes,Yes,1,Yes,No,No,No,No,No,No
No,No,3,Yes,No,No,No,No,No,No
Yes,No,53,Yes,Yes,No,Yes,Yes,Yes,No
No,No,1,Yes,No,No,No,No,No,No
No,No,20,Yes,No,No,No,No,No,No
No,No,3,Yes,No,Yes,Yes,No,No,Yes
No,No,51,Yes,No,No,No,No,No,No
Yes,No,51,Yes,No,Yes,Yes,No,Yes,No
Yes,Yes,13,Yes,No,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,No
No,Yes,1,Yes,No,No,No,No,No,No
No,No,63,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,3,Yes,No,No,No,No,No,No
No,No,46,Yes,No,No,No,No,No,No
No,No,1,Yes,Yes,No,No,No,No,No
No,Yes,8,No,No,No,No,No,No,Yes
Yes,Yes,71,Yes,No,No,No,No,No,No
Yes,Yes,55,Yes,Yes,No,No,Yes,No,No
No,No,70,Yes,Yes,No,Yes,Yes,Yes,No
No,No,2,Yes,No,No,No,No,No,Yes
Yes,Yes,67,Yes,Yes,Yes,No,No,Yes,No
Yes,No,65,Yes,Yes,No,Yes,No,No,Yes
Yes,No,14,Yes,No,No,No,Yes,No,No
Yes,Yes,20,Yes,Yes,No,No,Yes,Yes,No
No,Yes,1,Yes,No,No,Yes,No,No,Yes
No,No,1,Yes,Yes,No,No,No,No,Yes
Yes,Yes,49,Yes,Yes,No,No,No,No,No
No,No,72,Yes,Yes,Yes,Yes,Yes,No,No
Yes,No,46,Yes,Yes,Yes,No,No,No,No
No,No,24,Yes,Yes,No,Yes,Yes,No,No
Yes,Yes,5,No,No,No,Yes,No,Yes,No
Yes,Yes,33,Yes,Yes,No,Yes,Yes,Yes,No
No,No,42,Yes,Yes,Yes,Yes,No,No,No
No,No,23,Yes,No,Yes,No,Yes,No,No
No,No,8,Yes,No,No,No,No,No,No
No,No,66,Yes,No,Yes,Yes,No,No,No
No,No,24,Yes,No,Yes,No,No,No,Yes
No,No,24,Yes,Yes,No,Yes,No,No,No
No,No,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes
No,No,53,Yes,No,No,Yes,Yes,No,No
No,No,60,No,No,Yes,No,Yes,No,No
Yes,No,7,Yes,No,No,No,No,No,Yes
No,No,20,Yes,No,No,No,No,No,No
Yes,Yes,23,Yes,Yes,No,No,No,No,No
Yes,Yes,72,Yes,No,Yes,No,Yes,Yes,No
Yes,No,11,Yes,Yes,No,No,No,No,Yes
No,No,21,Yes,No,No,No,No,No,No
No,No,1,Yes,Yes,No,No,No,No,Yes
No,No,31,Yes,Yes,No,Yes,No,No,No
No,No,57,Yes,No,No,Yes,Yes,Yes,No
Yes,Yes,45,Yes,No,No,No,No,No,No
No,No,10,Yes,Yes,No,Yes,Yes,No,No
Yes,No,58,Yes,Yes,No,No,Yes,Yes,Yes
No,Yes,14,Yes,No,No,No,No,No,No
Yes,No,27,Yes,Yes,Yes,No,No,Yes,No
Yes,Yes,14,Yes,Yes,No,Yes,No,No,Yes
Yes,Yes,12,No,No,No,Yes,No,No,Yes
Yes,Yes,69,Yes,Yes,No,Yes,No,Yes,No
Yes,Yes,25,Yes,No,No,Yes,Yes,No,Yes
Yes,No,58,Yes,Yes,Yes,Yes,Yes,No,Yes
Yes,Yes,35,No,No,Yes,No,No,Yes,No
No,No,16,Yes,Yes,No,No,No,No,Yes
Yes,Yes,45,Yes,Yes,No,Yes,Yes,No,No
No,No,17,Yes,No,No,Yes,No,No,No
Yes,Yes,1,Yes,No,No,No,No,No,Yes
No,No,22,Yes,No,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,Yes
Yes,Yes,67,Yes,No,Yes,No,Yes,Yes,No
Yes,Yes,67,Yes,Yes,No,No,Yes,Yes,No
Yes,No,2,No,No,No,No,No,No,Yes
No,No,23,Yes,Yes,No,No,No,No,Yes
No,No,9,Yes,No,No,No,Yes,No,No
No,No,5,Yes,No,No,No,No,No,No
No,No,54,No,No,Yes,No,No,Yes,No
No,No,57,Yes,No,No,No,Yes,No,Yes
No,No,24,Yes,Yes,No,No,Yes,No,Yes
Yes,Yes,49,Yes,Yes,No,Yes,No,No,Yes
No,No,5,Yes,Yes,No,No,No,No,Yes
No,No,2,Yes,No,No,No,No,No,Yes
No,Yes,4,Yes,Yes,No,No,Yes,Yes,Yes
Yes,Yes,70,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,5,Yes,Yes,No,No,No,No,Yes
Yes,Yes,53,Yes,Yes,Yes,No,Yes,Yes,No
Yes,No,47,Yes,Yes,Yes,Yes,Yes,No,Yes
No,Yes,31,Yes,No,No,No,No,No,No
Yes,Yes,13,Yes,No,No,Yes,Yes,Yes,No
Yes,Yes,28,Yes,Yes,No,No,No,No,No
No,No,10,Yes,Yes,No,No,No,No,Yes
Yes,No,38,Yes,No,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,Yes
Yes,No,67,Yes,Yes,No,Yes,Yes,No,Yes
Yes,No,52,Yes,No,Yes,Yes,No,No,No
Yes,Yes,62,Yes,No,Yes,Yes,Yes,Yes,No
No,No,16,Yes,No,No,Yes,No,No,No
Yes,No,5,Yes,Yes,No,Yes,No,No,Yes
No,No,12,Yes,No,No,No,Yes,No,No
Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,71,Yes,Yes,No,Yes,No,Yes,No
Yes,No,24,Yes,No,No,No,No,No,No
No,No,15,Yes,No,No,No,No,No,No
Yes,No,67,Yes,No,Yes,Yes,No,No,Yes
No,Yes,2,Yes,Yes,Yes,Yes,No,No,No
Yes,Yes,5,No,No,No,No,No,No,No
Yes,No,15,Yes,No,No,No,No,No,Yes
No,No,1,Yes,No,No,No,No,No,Yes
Yes,Yes,41,Yes,No,Yes,Yes,Yes,No,No
No,Yes,43,Yes,No,Yes,Yes,No,No,No
Yes,No,1,Yes,Yes,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,No
Yes,Yes,26,Yes,No,No,No,No,No,Yes
No,No,22,Yes,Yes,No,Yes,No,No,Yes
Yes,No,71,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,7,Yes,No,No,No,No,No,No
No,No,28,Yes,Yes,No,Yes,Yes,Yes,No
No,No,16,Yes,No,No,No,No,No,No
No,No,7,Yes,No,No,No,No,No,No
No,No,69,Yes,Yes,No,Yes,Yes,Yes,No
No,Yes,1,No,No,No,No,No,No,No
No,No,3,Yes,No,Yes,No,Yes,No,No
No,No,21,Yes,No,No,No,Yes,No,Yes
Yes,No,69,Yes,Yes,No,Yes,Yes,No,No
Yes,No,71,No,No,Yes,Yes,Yes,Yes,No
Yes,Yes,69,Yes,No,No,No,No,No,No
No,No,48,Yes,Yes,No,No,Yes,Yes,No
Yes,No,47,Yes,Yes,No,Yes,Yes,No,Yes
No,No,2,Yes,Yes,No,No,No,No,Yes
No,No,45,Yes,Yes,Yes,No,Yes,Yes,No
No,No,51,Yes,Yes,No,Yes,No,No,No
Yes,No,22,Yes,Yes,Yes,No,No,Yes,Yes
No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,Yes,37,Yes,Yes,No,Yes,Yes,No,No
Yes,Yes,71,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,Yes,7,Yes,No,No,No,Yes,No,Yes
No,No,66,Yes,Yes,No,No,No,No,No
Yes,Yes,51,Yes,No,Yes,No,No,Yes,No
Yes,Yes,30,Yes,No,No,No,No,No,No
No,No,34,Yes,Yes,No,No,No,No,No
Yes,Yes,64,Yes,Yes,No,No,No,No,No
Yes,No,65,Yes,Yes,No,Yes,Yes,No,No
No,No,47,Yes,Yes,Yes,Yes,No,Yes,No
No,No,1,Yes,No,Yes,No,No,No,Yes
No,No,49,Yes,Yes,Yes,Yes,No,No,Yes
Yes,Yes,67,Yes,Yes,No,Yes,No,Yes,No
No,Yes,39,Yes,No,No,No,No,No,No
No,No,14,Yes,No,No,No,No,No,No
No,No,43,Yes,No,Yes,Yes,No,Yes,Yes
No,No,56,Yes,Yes,No,No,Yes,No,No
No,No,14,Yes,No,No,No,No,Yes,No
No,No,1,Yes,No,No,No,No,No,Yes
Yes,Yes,16,Yes,No,Yes,Yes,No,No,No
Yes,Yes,70,Yes,Yes,Yes,Yes,No,No,No
Yes,No,72,Yes,Yes,Yes,Yes,Yes,No,No
Yes,Yes,23,Yes,No,No,No,Yes,No,No
No,Yes,21,Yes,Yes,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,Yes
No,Yes,1,Yes,No,No,No,No,No,Yes
Yes,No,32,Yes,Yes,No,No,No,No,Yes
Yes,Yes,17,Yes,No,No,No,No,No,Yes
No,No,4,No,No,Yes,Yes,No,No,Yes
No,No,36,Yes,Yes,No,No,Yes,No,No
No,No,50,No,No,No,Yes,Yes,Yes,No
Yes,Yes,48,No,No,No,No,No,Yes,No
No,Yes,50,Yes,No,No,No,No,No,No
Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No
No,Yes,10,Yes,Yes,No,No,No,No,No
No,No,18,Yes,No,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,Yes
No,No,1,Yes,No,No,No,No,No,Yes
No,No,9,Yes,No,No,No,Yes,No,No
No,No,2,Yes,Yes,Yes,No,No,No,No
Yes,No,40,Yes,Yes,No,No,No,Yes,No
Yes,No,69,Yes,Yes,No,No,Yes,No,No
Yes,No,37,Yes,Yes,Yes,No,Yes,Yes,Yes
No,Yes,18,Yes,Yes,No,No,Yes,No,No
Yes,No,11,Yes,No,No,No,No,No,No
Yes,No,8,Yes,Yes,No,No,No,No,Yes
No,No,3,Yes,Yes,No,No,No,No,Yes
Yes,Yes,55,Yes,No,Yes,No,No,No,No
Yes,No,33,Yes,Yes,No,Yes,Yes,No,No
No,No,46,Yes,No,No,No,No,No,No
No,No,34,Yes,Yes,No,No,No,No,No
No,No,3,Yes,No,No,No,No,No,No
Yes,Yes,30,Yes,No,No,No,No,No,No
No,No,33,Yes,Yes,Yes,No,No,Yes,No
Yes,Yes,45,Yes,Yes,No,Yes,Yes,No,No
No,No,40,Yes,No,Yes,Yes,No,Yes,No
No,No,71,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,1,Yes,Yes,No,No,Yes,No,Yes
Yes,Yes,72,No,No,Yes,Yes,Yes,Yes,No
Yes,Yes,22,Yes,No,No,No,No,No,No
Yes,Yes,46,Yes,No,No,No,No,No,No
Yes,Yes,55,Yes,No,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,No
No,No,12,Yes,Yes,No,No,No,Yes,No
No,No,31,Yes,Yes,No,Yes,No,No,No
Yes,No,5,No,No,No,No,No,No,Yes
Yes,Yes,67,Yes,Yes,Yes,No,No,No,No
No,No,1,Yes,No,No,No,No,No,No
Yes,No,40,No,No,Yes,Yes,Yes,No,Yes
Yes,Yes,41,Yes,Yes,Yes,Yes,Yes,No,No
No,No,1,Yes,Yes,No,No,No,No,Yes
No,No,51,Yes,Yes,Yes,Yes,No,No,Yes
Yes,Yes,42,No,No,Yes,No,Yes,Yes,No
Yes,Yes,23,Yes,No,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,Yes
No,No,1,Yes,No,No,No,No,No,No
No,No,56,Yes,Yes,Yes,Yes,No,No,No
No,Yes,15,Yes,Yes,No,Yes,No,No,No
Yes,Yes,12,Yes,Yes,No,No,No,No,No
Yes,Yes,54,Yes,No,Yes,No,Yes,Yes,No
No,No,7,Yes,No,No,No,No,No,No
Yes,Yes,33,Yes,Yes,No,No,No,No,Yes
Yes,Yes,16,Yes,No,No,No,No,No,No
No,Yes,21,Yes,No,Yes,No,Yes,No,No
Yes,No,30,Yes,Yes,No,No,Yes,No,No
No,No,3,Yes,No,No,No,No,Yes,No
No,No,11,Yes,No,No,No,Yes,No,No
No,No,62,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,18,Yes,No,No,No,No,No,No
No,Yes,6,Yes,No,No,No,No,No,No
No,No,46,Yes,Yes,No,No,Yes,No,No
No,No,21,Yes,Yes,No,No,No,No,No
No,No,68,Yes,Yes,No,No,No,No,No
No,No,1,Yes,Yes,No,No,No,No,No
Yes,No,25,Yes,No,No,No,Yes,No,No
No,Yes,24,Yes,No,No,No,No,No,No
Yes,No,30,Yes,Yes,No,No,No,No,Yes
No,No,2,Yes,No,No,No,No,No,Yes
Yes,No,51,Yes,Yes,No,Yes,Yes,No,No
Yes,Yes,57,Yes,Yes,Yes,No,Yes,Yes,No
No,No,15,Yes,Yes,No,No,No,No,No
Yes,Yes,72,Yes,No,Yes,Yes,Yes,Yes,No
No,No,2,Yes,No,No,No,Yes,No,Yes
Yes,No,28,Yes,Yes,No,Yes,Yes,No,No
Yes,No,29,Yes,Yes,No,No,Yes,No,Yes
Yes,Yes,70,Yes,No,Yes,Yes,Yes,Yes,No
No,No,13,Yes,No,No,No,No,No,No
Yes,No,59,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,No,13,Yes,Yes,No,No,No,No,Yes
Yes,No,7,Yes,Yes,No,No,No,No,Yes
Yes,No,62,Yes,No,Yes,No,Yes,Yes,No
No,No,21,Yes,No,Yes,No,Yes,Yes,No
No,No,2,Yes,No,No,No,Yes,No,No
No,No,1,Yes,No,No,No,No,No,No
No,No,4,Yes,No,No,No,Yes,No,No
No,No,19,Yes,No,No,No,No,No,No
No,No,30,Yes,No,No,No,No,Yes,Yes
Yes,Yes,67,Yes,No,No,No,No,No,No
Yes,No,72,Yes,Yes,Yes,Yes,Yes,No,No
Yes,No,53,Yes,No,No,No,No,No,No
No,No,5,Yes,No,No,No,No,No,No
Yes,No,71,Yes,No,No,Yes,Yes,Yes,No
Yes,Yes,50,Yes,Yes,No,Yes,Yes,Yes,No
Yes,Yes,56,Yes,Yes,No,No,Yes,Yes,No
No,No,2,Yes,No,No,No,No,Yes,No
No,No,2,Yes,Yes,No,No,Yes,No,Yes
Yes,Yes,24,Yes,Yes,Yes,No,No,No,Yes
Yes,Yes,46,Yes,No,No,No,No,No,No
Yes,No,71,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,29,No,No,No,No,No,Yes,No
Yes,Yes,69,Yes,Yes,No,No,No,No,No
Yes,No,71,Yes,Yes,No,Yes,Yes,Yes,No
No,No,1,Yes,No,No,No,No,No,Yes
Yes,No,56,Yes,No,Yes,Yes,Yes,Yes,No
No,Yes,56,Yes,No,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,Yes
Yes,No,28,Yes,Yes,No,No,No,No,No
Yes,Yes,19,Yes,No,No,No,No,No,No
Yes,No,66,Yes,Yes,No,No,No,Yes,No
Yes,Yes,17,Yes,Yes,No,No,Yes,Yes,No
Yes,Yes,52,Yes,Yes,No,No,No,No,No
No,No,19,Yes,No,No,Yes,No,No,No
No,No,36,Yes,No,Yes,Yes,Yes,Yes,No
Yes,No,7,Yes,No,No,No,No,No,Yes
Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,Yes,67,Yes,Yes,Yes,Yes,Yes,No,Yes
No,No,34,Yes,No,No,Yes,Yes,No,No
Yes,No,57,Yes,Yes,No,Yes,Yes,No,Yes
Yes,No,7,Yes,No,No,No,Yes,No,Yes
Yes,No,1,Yes,Yes,No,No,Yes,No,Yes
Yes,No,8,Yes,No,No,No,No,No,No
No,No,69,Yes,Yes,No,No,Yes,Yes,No
Yes,No,50,Yes,Yes,Yes,No,Yes,No,No
No,No,10,Yes,No,No,No,No,No,No
Yes,Yes,12,Yes,Yes,No,No,No,No,No
No,No,14,Yes,No,No,Yes,No,No,Yes
Yes,No,70,No,No,Yes,No,Yes,Yes,No
No,No,64,Yes,Yes,Yes,No,Yes,Yes,No
Yes,Yes,66,Yes,Yes,Yes,Yes,Yes,Yes,No
